Airline,Source,Destination,Total_Stops,Additional_Info,Price,day,month,Duration_min
IndiGo,Banglore,New Delhi,non-stop,No info,3897.0,24,3,170
Air India,Kolkata,Banglore,2 stops,No info,7662.0,1,5,445
Jet Airways,Delhi,Cochin,2 stops,No info,13882.0,9,6,1140
IndiGo,Kolkata,Banglore,1 stop,No info,6218.0,12,5,325
IndiGo,Banglore,New Delhi,1 stop,No info,13302.0,1,3,285
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,24,6,145
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,12,3,930
Jet Airways,Banglore,New Delhi,1 stop,No info,22270.0,1,3,1265
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,12,3,1530
Multiple carriers,Delhi,Cochin,1 stop,No info,8625.0,27,5,470
Air India,Delhi,Cochin,1 stop,No info,8907.0,1,6,795
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,18,4,155
Air India,Chennai,Kolkata,non-stop,No info,4667.0,24,6,135
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,9,5,730
IndiGo,Kolkata,Banglore,non-stop,No info,4804.0,24,4,155
Air India,Delhi,Cochin,2 stops,No info,14011.0,3,3,1595
SpiceJet,Delhi,Cochin,1 stop,No info,5830.0,15,4,270
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,12,6,1355
Air India,Delhi,Cochin,2 stops,No info,13381.0,12,6,1380
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,27,5,1235
GoAir,Delhi,Cochin,1 stop,No info,19495.0,6,3,310
Air India,Banglore,New Delhi,1 stop,No info,6955.0,21,3,920
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,3,4,170
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,1,5,175
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7757.0,6,5,800
Jet Airways,Delhi,Cochin,2 stops,No info,13292.0,9,6,910
IndiGo,Delhi,Cochin,1 stop,No info,8238.0,1,6,345
GoAir,Delhi,Cochin,1 stop,No info,7682.0,15,5,355
Vistara,Banglore,Delhi,non-stop,No info,4668.0,18,6,170
Vistara,Chennai,Kolkata,non-stop,No info,3687.0,15,6,135
Vistara,Chennai,Kolkata,non-stop,No info,3687.0,18,6,135
Air India,Kolkata,Banglore,2 stops,No info,13227.0,1,5,805
IndiGo,Banglore,Delhi,non-stop,No info,4423.0,6,4,170
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10919.0,15,6,1320
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373.0,18,5,330
IndiGo,Delhi,Cochin,1 stop,No info,5894.0,27,6,625
SpiceJet,Kolkata,Banglore,1 stop,No info,4649.0,21,5,315
Air India,Kolkata,Banglore,non-stop,No info,6245.0,18,5,150
Jet Airways,Banglore,New Delhi,1 stop,No info,19225.0,6,3,375
Jet Airways,Delhi,Cochin,1 stop,No info,14924.0,3,6,715
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,21,5,665
Air India,Banglore,New Delhi,1 stop,No info,8714.0,15,3,510
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373.0,18,5,1325
Air Asia,Banglore,Delhi,non-stop,No info,3383.0,6,5,165
Multiple carriers,Delhi,Cochin,1 stop,No info,13062.0,21,3,720
SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,3527.0,24,3,170
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,27,5,170
Air India,Chennai,Kolkata,non-stop,No info,4667.0,3,5,135
Air India,Kolkata,Banglore,1 stop,No info,6117.0,15,5,965
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11150.0,27,6,1195
Jet Airways,Delhi,Cochin,non-stop,In-flight meal not included,7202.0,9,3,195
Jet Airways,Kolkata,Banglore,1 stop,No info,12121.0,1,5,1520
IndiGo,Banglore,New Delhi,non-stop,No info,4377.0,24,3,170
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,18,6,180
Air Asia,Banglore,Delhi,non-stop,No info,4483.0,3,4,170
Jet Airways,Kolkata,Banglore,1 stop,No info,14231.0,24,3,975
Air India,Banglore,New Delhi,2 stops,No info,17345.0,1,3,905
Vistara,Chennai,Kolkata,non-stop,No info,7414.0,6,3,135
Multiple carriers,Delhi,Cochin,1 stop,No info,8073.0,6,5,390
Vistara,Mumbai,Hyderabad,1 stop,No info,12395.0,6,3,1505
Air India,Kolkata,Banglore,1 stop,No info,8366.0,6,6,745
Air India,Delhi,Cochin,1 stop,No info,5117.0,3,4,1640
Multiple carriers,Delhi,Cochin,1 stop,No info,12524.0,3,6,615
IndiGo,Delhi,Cochin,1 stop,No info,7191.0,15,5,630
Vistara,Chennai,Kolkata,non-stop,No info,3687.0,24,5,135
IndiGo,Delhi,Cochin,1 stop,No info,5894.0,24,6,625
Vistara,Banglore,Delhi,non-stop,No info,5403.0,24,4,170
Air India,Mumbai,Hyderabad,non-stop,No info,3625.0,6,5,90
Air India,Delhi,Cochin,2 stops,No info,10861.0,21,5,800
IndiGo,Chennai,Kolkata,non-stop,No info,6297.0,12,3,135
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,1,6,85
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134.0,9,3,1590
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,10791.0,24,6,440
Jet Airways,Delhi,Cochin,2 stops,No info,12819.0,24,6,810
IndiGo,Delhi,Cochin,1 stop,No info,6893.0,21,3,300
Vistara,Banglore,New Delhi,non-stop,No info,7240.0,9,3,165
GoAir,Banglore,Delhi,non-stop,No info,3898.0,3,4,170
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049.0,3,4,90
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,15,6,1145
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3332.0,21,3,135
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,9,6,890
Jet Airways,Banglore,New Delhi,non-stop,No info,7229.0,24,3,160
Jet Airways,Kolkata,Banglore,1 stop,No info,13941.0,6,5,1330
IndiGo,Delhi,Cochin,1 stop,No info,5894.0,27,6,575
Multiple carriers,Delhi,Cochin,1 stop,No info,10197.0,18,5,600
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,13712.0,6,3,1280
IndiGo,Delhi,Cochin,1 stop,No info,5636.0,24,6,325
Jet Airways,Delhi,Cochin,2 stops,No info,13014.0,6,6,1125
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064.0,1,4,740
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10703.0,24,5,1080
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,27,5,555
Multiple carriers,Delhi,Cochin,1 stop,No info,17057.0,6,3,665
Jet Airways,Banglore,New Delhi,1 stop,No info,13817.0,12,3,1050
