Airline,Source,Destination,Total_Stops,Additional_Info,Price,day,month,Duration_min
IndiGo,Mumbai,Hyderabad,non-stop,No info,4575.0,1,5,90
Jet Airways,Delhi,Cochin,1 stop,No info,15554.0,9,5,540
Multiple carriers,Delhi,Cochin,1 stop,No info,13377.0,1,6,930
IndiGo,Kolkata,Banglore,1 stop,No info,5069.0,6,5,290
Air India,Delhi,Cochin,1 stop,No info,6745.0,21,3,1215
Air India,Delhi,Cochin,2 stops,No info,11228.0,21,3,1820
Jet Airways,Delhi,Cochin,2 stops,No info,13882.0,27,6,1140
SpiceJet,Mumbai,Hyderabad,non-stop,No info,5755.0,9,3,85
Multiple carriers,Delhi,Cochin,1 stop,No info,7670.0,15,5,900
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529.0,12,6,1545
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9314.0,1,5,1005
Air Asia,Delhi,Cochin,1 stop,No info,8759.0,3,6,870
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,9,6,360
Air India,Kolkata,Banglore,2 stops,No info,12125.0,1,4,805
Jet Airways,Delhi,Cochin,2 stops,No info,13014.0,24,6,810
Jet Airways,Kolkata,Banglore,1 stop,No info,14571.0,6,6,570
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,21,6,155
Jet Airways,Delhi,Cochin,1 stop,No info,18371.0,24,6,600
IndiGo,Delhi,Cochin,1 stop,No info,8330.0,9,5,480
Jet Airways,Delhi,Cochin,2 stops,No info,12347.0,21,3,2040
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,1,5,1170
Air India,Kolkata,Banglore,2 stops,No info,14214.0,9,5,1105
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,1,5,85
Multiple carriers,Delhi,Cochin,1 stop,No info,9486.0,21,5,910
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539.0,6,6,1285
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,12717.0,27,5,730
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,6,4,140
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,11841.0,15,5,775
IndiGo,Banglore,New Delhi,non-stop,No info,6144.0,9,3,175
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,9,6,155
GoAir,Delhi,Cochin,1 stop,No info,19495.0,6,3,310
Multiple carriers,Delhi,Cochin,1 stop,No info,13727.0,6,5,480
Jet Airways,Delhi,Cochin,2 stops,No info,15339.0,27,6,1760
IndiGo,Kolkata,Banglore,non-stop,No info,4174.0,9,4,150
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,18,6,180
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11150.0,27,6,1775
Air India,Delhi,Cochin,2 stops,No info,12436.0,3,6,1820
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544.0,15,4,180
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898.0,21,5,300
Jet Airways,Mumbai,Hyderabad,1 stop,No info,19595.0,6,3,1430
Air India,Banglore,New Delhi,1 stop,No info,5626.0,9,3,1560
IndiGo,Kolkata,Banglore,non-stop,No info,4488.0,12,4,155
IndiGo,Chennai,Kolkata,non-stop,No info,6297.0,15,3,145
IndiGo,Chennai,Kolkata,non-stop,No info,3540.0,12,6,145
Air India,Delhi,Cochin,2 stops,No info,8839.0,24,6,1210
Jet Airways,Kolkata,Banglore,1 stop,No info,13626.0,12,6,800
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229.0,9,6,180
Multiple carriers,Delhi,Cochin,2 stops,No info,19360.0,18,5,460
Air India,Delhi,Cochin,1 stop,No info,6902.0,27,3,375
Multiple carriers,Delhi,Cochin,1 stop,No info,8073.0,6,5,390
Jet Airways,Delhi,Cochin,2 stops,No info,12819.0,27,6,1045
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,27,6,1295
GoAir,Banglore,New Delhi,non-stop,No info,8722.0,15,3,175
IndiGo,Delhi,Cochin,non-stop,No info,5601.0,15,6,195
SpiceJet,Chennai,Kolkata,non-stop,No info,6300.0,12,3,140
Multiple carriers,Delhi,Cochin,1 stop,No info,23170.0,1,3,910
SpiceJet,Banglore,Delhi,non-stop,No info,4423.0,15,5,170
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,15,5,1025
IndiGo,Banglore,Delhi,non-stop,No info,4284.0,15,4,175
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,18,5,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,27,6,885
IndiGo,Delhi,Cochin,1 stop,No info,5947.0,21,3,280
Air India,Mumbai,Hyderabad,1 stop,No info,11678.0,6,3,465
Vistara,Delhi,Cochin,non-stop,No info,6216.0,15,4,190
Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040.0,3,4,85
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,9,6,510
Air India,Delhi,Cochin,2 stops,No info,11543.0,15,5,1545
Jet Airways,Banglore,Delhi,non-stop,No info,8016.0,15,6,180
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4160.0,15,3,90
IndiGo,Banglore,New Delhi,non-stop,No info,6860.0,3,3,165
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,2647.0,18,6,90
GoAir,Banglore,New Delhi,1 stop,No info,12314.0,1,3,270
IndiGo,Banglore,Delhi,non-stop,No info,4423.0,27,4,165
Multiple carriers,Delhi,Cochin,1 stop,No info,12192.0,9,6,540
IndiGo,Kolkata,Banglore,1 stop,No info,4268.0,6,4,315
Jet Airways,Delhi,Cochin,1 stop,No info,14714.0,6,6,805
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965.0,15,6,90
Multiple carriers,Delhi,Cochin,1 stop,No info,8625.0,27,5,520
IndiGo,Mumbai,Hyderabad,non-stop,No info,2754.0,15,3,90
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,13344.0,3,6,425
Air India,Mumbai,Hyderabad,non-stop,No info,2575.0,27,3,75
Vistara,Mumbai,Hyderabad,1 stop,No info,12395.0,6,3,1065
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064.0,6,5,435
Air India,Banglore,Delhi,non-stop,No info,7171.0,15,6,165
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4050.0,12,5,85
Multiple carriers,Delhi,Cochin,1 stop,No info,13727.0,9,5,570
Jet Airways,Delhi,Cochin,2 stops,No info,15129.0,21,5,1430
IndiGo,Delhi,Cochin,1 stop,No info,7503.0,24,5,415
Jet Airways,Kolkata,Banglore,1 stop,No info,13044.0,12,6,1200
Jet Airways,Kolkata,Banglore,1 stop,No info,14571.0,24,5,475
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8728.0,27,3,820
Jet Airways,Delhi,Cochin,2 stops,No info,16704.0,9,5,900
Multiple carriers,Delhi,Cochin,2 stops,No info,18275.0,27,5,460
Air India,Banglore,Delhi,non-stop,No info,5228.0,12,6,170
Air India,Mumbai,Hyderabad,non-stop,No info,3100.0,12,5,85
Jet Airways,Delhi,Cochin,1 stop,No info,15554.0,18,5,1425
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,15,3,90
Vistara,Kolkata,Banglore,1 stop,No info,8452.0,21,5,1580
IndiGo,Kolkata,Banglore,1 stop,No info,4226.0,9,5,240
Jet Airways,Delhi,Cochin,1 stop,No info,16289.0,12,6,330
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,12,3,1170
IndiGo,Banglore,Delhi,non-stop,No info,4823.0,3,5,175
Jet Airways,Kolkata,Banglore,1 stop,No info,13067.0,24,5,870
Air India,Kolkata,Banglore,2 stops,No info,10151.0,6,5,1830
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9899.0,12,6,365
Air India,Delhi,Cochin,non-stop,No info,5201.0,24,6,185
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,2385.0,18,3,80
Air India,Delhi,Cochin,2 stops,No info,13381.0,27,5,1380
Multiple carriers,Delhi,Cochin,1 stop,No info,7740.0,18,5,920
Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040.0,21,6,90
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663.0,12,5,1010
GoAir,Banglore,Delhi,non-stop,No info,4632.0,18,5,165
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229.0,1,6,180
Air India,Delhi,Cochin,1 stop,No info,8372.0,12,6,615
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841.0,21,5,150
Air India,Delhi,Cochin,2 stops,No info,12199.0,18,5,865
Jet Airways,Banglore,Delhi,non-stop,No info,7229.0,6,5,165
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586.0,1,5,845
Multiple carriers,Delhi,Cochin,1 stop,No info,14973.0,3,3,690
Jet Airways,Delhi,Cochin,2 stops,No info,14300.0,12,6,1095
Jet Airways,Kolkata,Banglore,1 stop,No info,12692.0,6,6,505
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,27,6,1620
Jet Airways,Banglore,New Delhi,1 stop,No info,12547.0,12,3,650
Air India,Delhi,Cochin,1 stop,No info,7480.0,27,5,1640
SpiceJet,Kolkata,Banglore,1 stop,No info,8844.0,15,5,435
Air Asia,Kolkata,Banglore,non-stop,No info,4409.0,12,4,150
Multiple carriers,Delhi,Cochin,1 stop,No info,13377.0,27,5,480
IndiGo,Kolkata,Banglore,1 stop,No info,8443.0,1,5,295
Vistara,Kolkata,Banglore,1 stop,No info,12102.0,24,3,1645
Air Asia,Delhi,Cochin,1 stop,No info,11410.0,6,6,865
IndiGo,Chennai,Kolkata,non-stop,No info,3597.0,12,6,140
Multiple carriers,Delhi,Cochin,1 stop,No info,7618.0,27,5,780
Air India,Mumbai,Hyderabad,3 stops,No info,18293.0,12,3,1775
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,4319.0,27,4,160
Jet Airways,Banglore,New Delhi,1 stop,No info,12284.0,18,3,315
Multiple carriers,Delhi,Cochin,1 stop,No info,12192.0,15,6,720
Air India,Delhi,Cochin,2 stops,No info,13591.0,6,6,1380
GoAir,Delhi,Cochin,1 stop,No info,6976.0,3,6,370
GoAir,Delhi,Cochin,1 stop,No info,9069.0,9,6,310
Vistara,Banglore,New Delhi,1 stop,No info,10008.0,9,3,915
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,12,3,950
SpiceJet,Kolkata,Banglore,1 stop,No info,6013.0,1,4,520
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,1,6,925
Jet Airways,Kolkata,Banglore,1 stop,No info,12681.0,1,4,1400
IndiGo,Delhi,Cochin,1 stop,No info,6171.0,9,3,425
Jet Airways,Delhi,Cochin,2 stops,No info,13014.0,1,6,535
Multiple carriers,Delhi,Cochin,1 stop,No info,7408.0,27,5,480
Vistara,Mumbai,Hyderabad,1 stop,No info,12395.0,6,3,1505
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134.0,15,3,315
Vistara,Banglore,Delhi,non-stop,No info,4878.0,27,5,155
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10588.0,15,6,1295
Air Asia,Banglore,New Delhi,non-stop,No info,3383.0,24,3,165
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049.0,3,6,90
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844.0,15,5,365
IndiGo,Delhi,Cochin,1 stop,No info,6938.0,12,6,490
Air India,Delhi,Cochin,1 stop,No info,9719.0,27,5,925
Air India,Kolkata,Banglore,2 stops,No info,13243.0,12,5,1100
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,24,6,165
SpiceJet,Delhi,Cochin,1 stop,No info,4812.0,27,6,270
Air India,Delhi,Cochin,1 stop,No info,7480.0,24,5,1420
IndiGo,Banglore,Delhi,non-stop,No info,4077.0,1,5,165
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,1,6,1415
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049.0,21,6,90
Jet Airways,Kolkata,Banglore,1 stop,No info,12692.0,6,6,1450
IndiGo,Kolkata,Banglore,non-stop,No info,4148.0,21,3,160
Multiple carriers,Delhi,Cochin,1 stop,No info,8283.0,18,5,390
IndiGo,Banglore,Delhi,non-stop,No info,3943.0,3,6,170
IndiGo,Delhi,Cochin,1 stop,No info,5073.0,24,4,275
IndiGo,Chennai,Kolkata,non-stop,No info,6297.0,9,3,135
Multiple carriers,Delhi,Cochin,1 stop,No info,9646.0,12,6,385
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,27,6,1530
Vistara,Kolkata,Banglore,1 stop,No info,9345.0,18,5,790
SpiceJet,Delhi,Cochin,1 stop,No info,5583.0,6,6,315
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678.0,21,3,80
SpiceJet,Kolkata,Banglore,non-stop,No info,3873.0,3,4,145
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087.0,18,3,375
Multiple carriers,Delhi,Cochin,1 stop,No info,18192.0,3,3,765
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262.0,24,6,1010
Air India,Delhi,Cochin,2 stops,No info,14483.0,9,3,2240
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832.0,21,3,1005
IndiGo,Chennai,Kolkata,non-stop,No info,3858.0,18,3,135
